token,stockname,slm,dma50,dma200
7862,GEPIL-EQ,0,0,0
13776,GESHIP-EQ,0,0,0
277,GICRE-EQ,0,0,0
1576,GILLETTE-EQ,0,0,0
1186,GLAND-EQ,0,0,0
1153,GLAXO-EQ,0,0,0
7406,GLENMARK-EQ,0,0,0
1570,GMMPFAUDLR-EQ,0,0,0
13528,GMRINFRA-EQ,0,0,0
1174,GNFC-EQ,0,0,0
1181,GODFRYPHLP-EQ,0,0,0
144,GODREJAGRO-EQ,0,0,0
10099,GODREJCP-EQ,0,0,0
10925,GODREJIND-EQ,0,0,0
17875,GODREJPROP-EQ,0,0,0
19731,GPPL-EQ,0,0,0
11872,GRANULES-EQ,0,0,0
592,GRAPHITE-EQ,0,0,0
1232,GRASIM-EQ,0,0,0
1235,GREAVESCOT-EQ,0,0,0
13560,GRINDWELL-EQ,0,0,0
5475,GRSE-EQ,0,0,0
1247,GSFC-EQ,0,0,0
13197,GSPL-EQ,0,0,0
1267,GUJALKALI-EQ,0,0,0
10599,GUJGASLTD-EQ,0,0,0
4391,GULFOILLUB-EQ,0,0,0
2303,HAL-EQ,0,0,0
48,HAPPSTMNDS-EQ,0,0,0
3892,HATSUN-EQ,0,0,0
9819,HAVELLS-EQ,0,0,0
7229,HCLTECH-EQ,0,0,0
4244,HDFCAMC-EQ,0,0,0
1333,HDFCBANK-EQ,0,0,0
1330,HDFC-EQ,0,0,0
467,HDFCLIFE-EQ,0,0,0
1336,HEG-EQ,0,0,0
2316,HEIDELBERG-EQ,0,0,0
701,HEMIPROP-EQ,0,0,0
1348,HEROMOTOCO-EQ,0,0,0
21954,HFCL-BE,0,0,0
1363,HINDALCO-EQ,0,0,0
17939,HINDCOPPER-EQ,0,0,0
1406,HINDPETRO-EQ,0,0,0
1394,HINDUNILVR-EQ,0,0,0
1424,HINDZINC-EQ,0,0,0
3417,HONAUT-EQ,0,0,0
14334,HSCL-EQ,0,0,0
20825,HUDCO-EQ,0,0,0
2562,HUHTAMAKI-EQ,0,0,0
14450,IBREALEST-EQ,0,0,0
30125,IBULHSGFIN-EQ,0,0,0
4963,ICICIBANK-EQ,0,0,0
21770,ICICIGI-EQ,0,0,0
18652,ICICIPRULI-EQ,0,0,0
11987,ICIL-EQ,0,0,0
1476,IDBI-EQ,0,0,0
14366,IDEA-EQ,0,0,0
11957,IDFC-EQ,0,0,0
11184,IDFCFIRSTB-EQ,0,0,0
220,IEX-EQ,0,0,0
1485,IFBIND-EQ,0,0,0
11262,IGL-EQ,0,0,0
11812,IIFL-BE,0,0,0
13061,IIFLWAM-EQ,0,0,0
1512,INDHOTEL-EQ,0,0,0
1515,INDIACEM-EQ,0,0,0
10726,INDIAMART-EQ,0,0,0
14309,INDIANB-EQ,0,0,0
11195,INDIGO-EQ,0,0,0
11677,INDOCO-EQ,0,0,0
5258,INDUSINDBK-EQ,0,0,0
29135,INDUSTOWER-EQ,0,0,0
16249,INFIBEAM-EQ,0,0,0
1594,INFY-EQ,0,0,0
1597,INGERRAND-EQ,0,0,0
13221,INOXLEISUR-EQ,0,0,0
5926,INTELLECT-EQ,0,0,0
9348,IOB-EQ,0,0,0
1624,IOC-EQ,0,0,0
20413,IOLCP-EQ,0,0,0
1633,IPCALAB-EQ,0,0,0
15313,IRB-EQ,0,0,0
4986,IRCON-EQ,0,0,0
13611,IRCTC-EQ,0,0,0
2489,ISEC-EQ,0,0,0
1660,ITC-EQ,0,0,0
1675,ITI-EQ,0,0,0
20778,JAMNAAUTO-EQ,0,0,0
1726,JBCHEPHARM-EQ,0,0,0
4491,JCHAC-EQ,0,0,0
3024,JINDALSAW-EQ,0,0,0
6733,JINDALSTEL-EQ,0,0,0
13270,JKCEMENT-EQ,0,0,0
13491,JKLAKSHMI-EQ,0,0,0
11860,JKPAPER-EQ,0,0,0
14435,JKTYRE-EQ,0,0,0
13637,JMFINANCIL-EQ,0,0,0
11236,JSL-EQ,0,0,0
12304,JSLHISAR-EQ,0,0,0
17873,JSWENERGY-BE,0,0,0
11723,JSWSTEEL-EQ,0,0,0
3237,JTEKTINDIA-EQ,0,0,0
18096,JUBLFOOD-EQ,0,0,0
29962,JUSTDIAL-EQ,0,0,0
15146,JYOTHYLAB-EQ,0,0,0
1808,KAJARIACER-EQ,0,0,0
1814,KALPATPOWR-EQ,0,0,0
1196,KANSAINER-EQ,0,0,0
1838,KARURVYSYA-EQ,0,0,0
13260,KEC-EQ,0,0,0
13310,KEI-EQ,0,0,0
15283,KNRCON-EQ,0,0,0
1922,KOTAKBANK-EQ,0,0,0
9683,KPITTECH-EQ,0,0,0
14912,KPRMILL-EQ,0,0,0
10577,KRBL-EQ,0,0,0
1949,KSB-EQ,0,0,0
14972,KSCL-EQ,0,0,0
24948,L&TFH-EQ,0,0,0
11654,LALPATHLAB-EQ,0,0,0
14423,LAOPALA-EQ,0,0,0
19234,LAURUSLABS-EQ,0,0,0
1979,LAXMIMACH-EQ,0,0,0
2606,LEMONTREE-EQ,0,0,0
1997,LICHSGFIN-EQ,0,0,0
1627,LINDEINDIA-EQ,0,0,0
11483,LT-EQ,0,0,0
17818,LTI-EQ,0,0,0
18564,LTTS-EQ,0,0,0
10440,LUPIN-EQ,0,0,0
11301,LUXIND-EQ,0,0,0
2031,M&M-EQ,0,0,0
13285,M&MFIN-EQ,0,0,0
11377,MAHABANK-EQ,0,0,0
14937,MAHINDCIE-EQ,0,0,0
385,MAHLOG-EQ,0,0,0
2085,MAHSCOOTER-EQ,0,0,0
2088,MAHSEAMLES-EQ,0,0,0
19061,MANAPPURAM-EQ,0,0,0
4067,MARICO-EQ,0,0,0
10999,MARUTI-EQ,0,0,0
199,MASFIN-EQ,0,0,0
22377,MAXHEALTH-EQ,0,0,0
509,MAZDOCK-EQ,0,0,0
10447,MCDOWELL-N-EQ,0,0,0
31181,MCX-EQ,0,0,0
9581,METROPOLIS-EQ,0,0,0
2142,MFSL-EQ,0,0,0
17534,MGL-EQ,0,0,0
17333,MHRIL-EQ,0,0,0
2463,MIDHANI-EQ,0,0,0
25897,MINDACORP-EQ,0,0,0
14154,MINDAIND-EQ,0,0,0
14356,MINDTREE-EQ,0,0,0
17957,MMTC-EQ,0,0,0
20830,MOIL-EQ,0,0,0
14947,MOTILALOFS-EQ,0,0,0
4503,MPHASIS-EQ,0,0,0
2277,MRF-EQ,0,0,0
2283,MRPL-EQ,0,0,0
23650,MUTHOOTFIN-EQ,0,0,0
357,NAM-INDIA-EQ,0,0,0
3918,NATCOPHARM-EQ,0,0,0
6364,NATIONALUM-EQ,0,0,0
13751,NAUKRI-EQ,0,0,0
14672,NAVINFLUOR-EQ,0,0,0
31415,NBCC-EQ,0,0,0
2319,NCC-EQ,0,0,0
15409,NESCO-EQ,0,0,0
17963,NESTLEIND-EQ,0,0,0
14111,NETWORK18-EQ,0,0,0
13925,NFL-EQ,0,0,0
11840,NH-EQ,0,0,0
17400,NHPC-EQ,0,0,0
399,NIACL-EQ,0,0,0
2421,NILKAMAL-EQ,0,0,0
8585,NLCINDIA-EQ,0,0,0
15332,NMDC-EQ,0,0,0
2442,NOCIL-EQ,0,0,0
11630,NTPC-EQ,0,0,0
20242,OBEROIRLTY-EQ,0,0,0
10738,OFSS-EQ,0,0,0
17438,OIL-EQ,0,0,0
2475,ONGC-EQ,0,0,0
2972,ORIENTELEC-EQ,0,0,0
14413,PAGEIND-EQ,0,0,0
2412,PEL-EQ,0,0,0
18365,PERSISTENT-EQ,0,0,0
11351,PETRONET-EQ,0,0,0
14299,PFC-EQ,0,0,0
2643,PFIZER-EQ,0,0,0
2535,PGHH-EQ,0,0,0
940,PGHL-EQ,0,0,0
2649,PHILIPCARB-EQ,0,0,0
14552,PHOENIXLTD-EQ,0,0,0
2664,PIDILITIND-EQ,0,0,0
24184,PIIND-EQ,0,0,0
10666,PNB-EQ,0,0,0
18918,PNBHOUSING-BE,0,0,0
